Account ID,Company Name,Domain Company,Tax Code,Address,Billing address,Industry,Source,Company Size,Sales Leader,Sale Owner,Product of interest,Master Contact,All Deals,Create Deal,Create Contact,Create Prospect,Date Created,Prospect,Last Modified Date,Modified By
GCP_Acc_058,Coolmate,coolmate.me,0402172552,"Số 123 Dũng Sỹ Thanh Khê, Phường Thanh Khê, Thành phố Đà Nẵng, Việt Nam",,Ecommerce,Self-sourced,SMB,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:04,104,2026/04/24 10:33,Hoàng Hà Trang
GCP_Acc_059,Sendo,sendo.vn,0312776486,,,Ecommerce,Self-sourced,ENTERPRISE,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:11,105,2026/04/24 10:34,Hoàng Hà Trang
GCP_Acc_060,Pharmacity,pharmacity.vn,0311770883,,,Ecommerce,Self-sourced,Enterprise,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:16,106,2026/04/24 10:34,Hoàng Hà Trang
GCP_Acc_065,Lameco,lmc.vn,0109762951,,,Ecommerce,Self-sourced,Startup,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:32,107,2026/04/24 10:34,Hoàng Hà Trang
GCP_Acc_066,Ecomomi,ecomobi.com,0108109926,"Tầng 4, Tháp 2 Times Tower, số 35 đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội.",,Ecommerce,Self-sourced,Startup,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:39,108,2026/04/24 10:34,Hoàng Hà Trang
GCP_Acc_067,Foodmap,foodmap.asia,0314592854,,,Ecommerce,Self-sourced,Startup,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:42,109,2026/05/08 13:37,Hoàng Hà Trang
GCP_Acc_068,Droppi,droppii.com,0317352473,"Tầng 05, Tòa nhà Pax Sky, 123 Nguyễn Đình Chiểu, Phường Xuân Hòa, Thành phố Hồ Chí Minh, Việt Nam",,Ecommerce,Self-sourced,Startup,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/08 16:43,114,2026/04/24 10:34,Hoàng Hà Trang
GCP_Acc_072,GUMAC,gumac.vn,0312676139,"17/6A Phan Huy ích, Phường An Hội Tây, Thành phố Hồ Chí Minh, Việt Nam",,Ecommerce,Self-sourced,SMB,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/09 09:18,117,2026/04/24 10:35,Hoàng Hà Trang
GCP_Acc_073,Xgear,xgear.net,0316898252,"Số 8 Tự Lập, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",,Ecommerce,Self-sourced,SMB,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/09 09:23,118,2026/04/24 10:35,Hoàng Hà Trang
GCP_Acc_074,Cocoon,cocoonvietnam.com,"0317269070

"," 38C-39C Khu phố 1, Quốc Lộ 1A, Phường Tân Thới Hiệp, Quận 12, TP. Hồ Chí Minh, Việt Nam",,Ecommerce,Self-sourced,SMB,Phạm Tiến Thiêm,Hoàng Hà Trang,GCP,,,Create Deal,Create Contact,Create Prospect,2026/04/09 09:23,119,2026/04/24 10:38,Hoàng Hà Trang
